STATE/UT,Year,Cases,Post2016,Post2020
A & N ISLANDS,2002,15.0,0,0
A & N ISLANDS,2003,16.0,0,0
A & N ISLANDS,2004,5.0,0,0
A & N ISLANDS,2005,0.0,0,0
A & N ISLANDS,2006,0.0,0,0
A & N ISLANDS,2007,11.0,0,0
A & N ISLANDS,2008,1.0,0,0
A & N ISLANDS,2009,0.0,0,0
A & N ISLANDS,2010,0.0,0,0
A & N ISLANDS,2011,0.0,0,0
A & N ISLANDS,2012,18.0,0,0
A & N ISLANDS,2013,18.0,0,0
A & N ISLANDS,2014,13.0,0,0
A & N ISLANDS,2015,6.0,0,0
A & N ISLANDS,2016,3.0,1,0
A & N ISLANDS,2017,3.0,1,0
A & N ISLANDS,2018,7.0,1,0
A & N ISLANDS,2019,2.0,1,0
A & N ISLANDS,2020,5.0,1,1
ANDHRA PRADESH,2002,261.0,0,0
ANDHRA PRADESH,2003,221.0,0,0
ANDHRA PRADESH,2004,101.0,0,0
ANDHRA PRADESH,2005,82.0,0,0
ANDHRA PRADESH,2006,82.0,0,0
ANDHRA PRADESH,2007,69.0,0,0
ANDHRA PRADESH,2008,103.0,0,0
ANDHRA PRADESH,2009,38.0,0,0
ANDHRA PRADESH,2010,171.0,0,0
ANDHRA PRADESH,2011,372.0,0,0
ANDHRA PRADESH,2012,651.0,0,0
ANDHRA PRADESH,2013,651.0,0,0
ANDHRA PRADESH,2014,282.0,0,0
ANDHRA PRADESH,2015,536.0,0,0
ANDHRA PRADESH,2016,616.0,1,0
ANDHRA PRADESH,2017,931.0,1,0
ANDHRA PRADESH,2018,1207.0,1,0
ANDHRA PRADESH,2019,1886.0,1,0
ANDHRA PRADESH,2020,1899.0,1,1
ARUNACHAL PRADESH,2002,0.0,0,0
ARUNACHAL PRADESH,2003,0.0,0,0
ARUNACHAL PRADESH,2004,0.0,0,0
ARUNACHAL PRADESH,2005,0.0,0,0
ARUNACHAL PRADESH,2006,0.0,0,0
ARUNACHAL PRADESH,2007,0.0,0,0
ARUNACHAL PRADESH,2008,0.0,0,0
ARUNACHAL PRADESH,2009,1.0,0,0
ARUNACHAL PRADESH,2010,3.0,0,0
ARUNACHAL PRADESH,2011,14.0,0,0
ARUNACHAL PRADESH,2012,10.0,0,0
ARUNACHAL PRADESH,2013,10.0,0,0
ARUNACHAL PRADESH,2014,18.0,0,0
